COL,ARM,ESS,VEG,LOC, S, N,H
COL3,ESS,SALIC,PASTO,BACIA1,2,2,0.6931
COL3,ESS,VANIL,PASTO,BACIA1,1,1,0
COL3,ESS,SALIC,CANA,BACIA1,1,1,0
COL3,ESS,VANIL,CANA,BACIA1,2,4,0.5623
COL3,ESS,SALIC,FLOR,BACIA1,1,1,0
COL3,ESS,VANIL,FLOR,BACIA1,2,5,0.5004
COL3,ESS,EUGEN,FLOR,BACIA1,2,9,0.6365
COL3,ESS,VANIL,FLOR,BACIA2,1,2,0
COL3,ESS,SALIC,PASTO,BACIA2,3,3,1.099
COL3,ESS,VANIL,PASTO,BACIA2,2,5,0.5004
COL3,ESS,SALIC,CANA,BACIA2,2,2,0.6931
COL3,ESS,SALIC,CANA,BACIA3,1,1,0
COL3,ESS,EUGEN,CANA,BACIA3,2,4,0.5623
COL3,ESS,SALIC,PASTO,BACIA3,2,2,0.6931
COL3,ESS,VANIL,PASTO,BACIA3,1,1,0
COL3,ESS,EUGEN,PASTO,BACIA3,4,5,1.332
COL3,ESS,SALIC,FLOR,BACIA3,1,2,0
COL3,ESS,VANIL,FLOR,BACIA3,1,1,0
COL3,ESS,EUGEN,FLOR,BACIA3,1,2,0
COL3,ESS,SALIC,CANA,BACIA4,1,1,0
COL3,ESS,VANIL,CANA,BACIA4,1,2,0
COL3,ESS,EUGEN,CANA,BACIA4,4,6,1.33
COL3,ESS,SALIC,FLOR,BACIA4,2,6,0.4506
COL3,ESS,EUGEN,FLOR,BACIA4,1,2,0
COL3,ESS,SALIC,FLOR,BACIA6,3,3,1.099
COL3,ESS,VANIL,FLOR,BACIA6,2,2,0.6931
COL3,ESS,EUGEN,FLOR,BACIA6,1,1,0
COL3,ESS,SALIC,PASTO,BACIA6,0,0,0
COL3,ESS,EUGEN,PASTO,BACIA6,3,3,1.099
COL4,ESS,SALIC,FLOR,BACIA1,3,4,1.04
COL4,ESS,VANIL,FLOR,BACIA1,1,1,0
COL4,ESS,EUGEN,FLOR,BACIA1,1,2,0
COL4,ESS,VANIL,CANA,BACIA1,1,2,0
COL4,ESS,SALIC,PASTO,BACIA1,2,3,0.6365
COL4,ESS,VANIL,CANA,BACIA2,1,1,0
COL4,ESS,EUGEN,CANA,BACIA2,1,1,0
COL4,ESS,SALIC,FLOR,BACIA2,1,1,0
COL4,ESS,VANIL,FLOR,BACIA2,0,0,0
COL4,ESS,EUGEN,FLOR,BACIA2,1,1,0
COL4,ESS,SALIC,PASTO,BACIA2,3,10,0.639
COL4,ESS,SALIC,PASTO,BACIA3,1,1,0
COL4,ESS,VANIL,PASTO,BACIA3,1,4,0
COL4,ESS,EUGEN,PASTO,BACIA3,1,1,0
COL4,ESS,VANIL,CANA,BACIA3,1,2,0
COL4,ESS,EUGEN,CANA,BACIA3,1,1,0
COL4,ESS,SALIC,FLOR,BACIA3,1,1,0
COL4,ESS,VANIL,FLOR,BACIA3,3,6,0.8676
COL4,ESS,EUGEN,FLOR,BACIA3,1,1,0
COL4,ESS,SALIC,CANA,BACIA4,1,1,0
COL4,ESS,VANIL,CANA,BACIA4,1,6,0
COL4,ESS,SALIC,FLOR,BACIA4,0,0,0
COL4,ESS,EUGEN,FLOR,BACIA4,1,1,0
COL4,ESS,VANIL,FLOR,BACIA4,1,17,0
COL4,ESS,SALIC,PASTO,BACIA4,2,3,0.6365
COL4,ESS,VANIL,PASTO,BACIA4,3,15,0.4851
COL4,ESS,SALIC,FLOR,BACIA6,3,4,1.04
COL4,ESS,VANIL,FLOR,BACIA6,3,3,1.099
COL4,ESS,EUGEN,CANA,BACIA6,1,1,0
COL4,ESS,VANIL,PASTO,BACIA6,1,8,0
COL4,ESS,EUGEN,PASTO,BACIA6,0,0,0
